сб сент. 4 2021,"1, дю дю дю, 13"
EMG,GSR(Om),HR
1404,0
2,0
0,0
2626,0
1872,0
539,0
0,0
0,0
2840,0
1335,0
253,0
0,0
0,0
3029,0
2142,20460000.0
1033,0
6,0
0,0
1,0
3194,0
1753,0
809,0
5,0
1,0
0,0
3054,20460000.0
2163,0
1158,20460000.0
17,0
1,0
0,0
2837,0
1135,0
4,0
0,0
2255,0
1689,0
510,0
1,0
3023,0
1948,0
850,0
7,0
0,0
0,0
3190,0
1241,0
11,0
0,20460000.0
0,0
3116,0
1972,0
870,0
4,0
0,0
0,0
3059,0
2165,0
1136,0
10,0
2,0
0,0
6,0
2513,0
1526,0
583,0
0,0
0,0
3173,0
1652,0
301,0
0,0
3059,0
2101,20460000.0
938,0
2,0
0,0
0,0
3131,0
1879,0
934,0
9,0
0,0
0,0
2888,0
2256,0
1286,0
32,0
0,0
0,0
0,0
3179,0
1796,0
632,0
1,0
0,0
3186,0
1484,0
16,0
0,0
0,0
3164,0
1372,0
301,0
0,0
1,0
3067,0
1840,0
1009,0
12,0
3,0
0,0
2114,20460000.0
2313,0
1137,0
17,0
4,0
1,0
3047,0
1590,0
7,0
3178,0
1173,0
2,0
0,0
2128,0
2265,0
962,0
8,0
0,0
0,0
3133,0
2040,20460000.0
1171,0
12,0
0,0
0,0
2775,0
2386,0
1431,0
515,20460000.0
1,20460000.0
0,0
2143,0
2082,0
626,0
0,0
0,0
3143,20460000.0
1934,20460000.0
1083,0
13,0
1,0
0,0
2427,0
1211,0
12,0
0,0
0,0
3202,0
1516,0
374,0
0,0
0,0
3046,0
2094,0
1229,0
462,0
0,0
0,0
0,0
3188,0
1737,0
755,0
0,0
0,0
0,0
3182,0
1324,0
4,0
3,0
2682,0
2137,0
912,0
4,0
0,0
0,0
2316,0
1076,0
4,0
0,0
0,0
3019,0
1505,0
14,0
1,0
1,20460000.0
3193,0
1548,0
469,0
0,0
0,0
3124,0
1846,0
758,0
0,0
0,0
0,0
2506,0
1389,0
519,0
0,0
1,0
0,0
2551,0
1492,0
550,0
3,0
0,0
0,0
