ср сент. 15 2021,"5, fff, 5"
['2953'],['2028000.0']
['3093'],['2255555.5555555555']
['3235'],['2028000.0']
['3245'],['2028000.0']
['3234'],['2255555.5555555555']
['3187'],['2540000.0']
['3046'],['2028000.0']
['2905'],['2028000.0']
['2771'],['2255555.5555555555']
['2689'],['2540000.0']
['2660'],['2905714.285714286']
['2878'],['2905714.285714286']
['3076'],['2905714.285714286']
['3231'],['2540000.0']
['3235'],['2905714.285714286']
['3243'],['2905714.285714286']
['3165'],['2905714.285714286']
['3007'],['2540000.0']
['2859'],['2540000.0']
['2760'],['2905714.285714286']
['2674'],['2905714.285714286']
['2734'],['3393333.3333333335']
['2914'],['4076000.0']
['3050'],['4076000.0']
['3216'],['4076000.0']
['3234'],['4076000.0']
['3245'],['3393333.3333333335']
['3231'],['4076000.0']
['3101'],['3393333.3333333335']
['2937'],['3393333.3333333335']
['2809'],['4076000.0']
['2699'],['4076000.0']
['2645'],['3393333.3333333335']
['2815'],['4076000.0']
['2963'],['5100000.0']
['3123'],['5100000.0']
['3231'],['5100000.0']
['3245'],['4076000.0']
['3236'],['4076000.0']
['3164'],['5100000.0']
['3013'],['4076000.0']
['2863'],['5100000.0']
['2733'],['4076000.0']
['2652'],['6806666.666666667']
['2763'],['6806666.666666667']
['2913'],['6806666.666666667']
['3049'],['5100000.0']
['3204'],['6806666.666666667']
['3236'],['6806666.666666667']
['3233'],['6806666.666666667']
['3220'],['5100000.0']
['3080'],['5100000.0']
['2920'],['5100000.0']
['2799'],['5100000.0']
['2708'],['6806666.666666667']
['2635'],['6806666.666666667']
['2824'],['6806666.666666667']
['2986'],['10220000.0']
['3115'],['10220000.0']
['3227'],['6806666.666666667']
['3238'],['6806666.666666667']
['3234'],['6806666.666666667']
['3155'],['10220000.0']
['3003'],['6806666.666666667']
['2876'],['6806666.666666667']
['2747'],['6806666.666666667']
['2669'],['5100000.0']
['2717'],['10220000.0']
['2906'],['6806666.666666667']
['3034'],['10220000.0']
['3186'],['10220000.0']
['3029'],['10220000.0']
['2884'],['10220000.0']
['2760'],['10220000.0']
['2679'],['10220000.0']
['2782'],['10220000.0']
['2944'],['10220000.0']
['3076'],['20460000.0']
['3228'],['20460000.0']
['3242'],['20460000.0']
['3245'],['10220000.0']
['3209'],['6806666.666666667']
['3070'],['10220000.0']
['2925'],['10220000.0']
['2805'],['10220000.0']
['2710'],['10220000.0']
['2675'],['10220000.0']
['2861'],['20460000.0']
['3020'],['20460000.0']
['3166'],['0']
['3235'],['20460000.0']
['3236'],['0']
['3241'],['20460000.0']
['3130'],['20460000.0']
['2997'],['20460000.0']
['2857'],['10220000.0']
['2754'],['20460000.0']
['2677'],['10220000.0']
['2789'],['0']
['2934'],['20460000.0']
['3083'],['10220000.0']
['3234'],['0']
['3233'],['20460000.0']
['3241'],['0']
['3215'],['10220000.0']
['3070'],['10220000.0']
['2928'],['20460000.0']
['2788'],['0']
['2713'],['20460000.0']
['2675'],['20460000.0']
['2893'],['0']
['3026'],['0']
['3187'],['20460000.0']
['3246'],['20460000.0']
['3241'],['0']
['3239'],['20460000.0']
['3023'],['0']
['2861'],['20460000.0']
['2746'],['20460000.0']
['2680'],['0']
['2810'],['20460000.0']
['2954'],['0']
['3106'],['0']
['3231'],['0']
['3242'],['0']
['3244'],['0']
['3146'],['20460000.0']
['3027'],['20460000.0']
['2832'],['20460000.0']
['2723'],['0']
['2665'],['0']
['2840'],['0']
['2971'],['0']
['3112'],['0']
['3234'],['0']
['3243'],['0']
['3245'],['0']
['3111'],['0']
['2944'],['0']
['2797'],['20460000.0']
['2717'],['0']
['2675'],['20460000.0']
['2883'],['0']
['3029'],['20460000.0']
['3183'],['0']
['3233'],['0']
['3232'],['20460000.0']
['3186'],['0']
['3045'],['0']
['2851'],['0']
['2722'],['20460000.0']
['2679'],['0']
['2898'],['0']
['3050'],['20460000.0']
['3206'],['0']
['3245'],['0']
['3156'],['0']
['2974'],['0']
['2837'],['0']
['2701'],['0']
['2757'],['0']
['2939'],['0']
['3104'],['0']
['3231'],['0']
['3117'],['6806666.666666667']
['2972'],['10220000.0']
['2793'],['10220000.0']
['2640'],['6806666.666666667']
['2556'],['6806666.666666667']
['2773'],['20460000.0']
['2940'],['0']
['3097'],['0']
['3234'],['0']
['3151'],['0']
['3032'],['6806666.666666667']
['2858'],['6806666.666666667']
['2727'],['5100000.0']
['2622'],['5100000.0']
['2588'],['10220000.0']
['2793'],['0']
['2942'],['0']
['3055'],['0']
['3195'],['0']
['3235'],['0']
['3180'],['6806666.666666667']
['3061'],['2028000.0']
['2941'],['2028000.0']
['2817'],['2540000.0']
['2712'],['3393333.3333333335']
['2646'],['6806666.666666667']
['2596'],['0']
['2795'],['0']
['2952'],['20460000.0']
['3091'],['2905714.285714286']
['3206'],['1442857.142857143']
